datetime,count
2011-01-20 00:00:00,15.4
2011-01-20 01:00:00,4.805
2011-01-20 02:00:00,4.69
2011-01-20 03:00:00,3.655
2011-01-20 04:00:00,2.9
2011-01-20 05:00:00,6.45
2011-01-20 06:00:00,36.69
2011-01-20 07:00:00,92.5
2011-01-20 08:00:00,210.675
2011-01-20 09:00:00,128.48
2011-01-20 10:00:00,59.885
2011-01-20 11:00:00,65.33
2011-01-20 12:00:00,76.2
2011-01-20 13:00:00,72.86
2011-01-20 14:00:00,73.335
2011-01-20 15:00:00,74.405
2011-01-20 16:00:00,87.235
2011-01-20 17:00:00,207.915
2011-01-20 18:00:00,185.75
2011-01-20 19:00:00,119.835
2011-01-20 20:00:00,71.955
2011-01-20 21:00:00,51.75
2011-01-20 22:00:00,43.365
2011-01-20 23:00:00,23.58
2011-01-21 00:00:00,24.38
2011-01-21 01:00:00,8.785
2011-01-21 02:00:00,8.16
2011-01-21 03:00:00,2.525
2011-01-21 04:00:00,1.925
2011-01-21 05:00:00,5.955
2011-01-21 06:00:00,33.8
2011-01-21 07:00:00,92.465
2011-01-21 08:00:00,199.305
2011-01-21 09:00:00,127.28
2011-01-21 10:00:00,50.875
2011-01-21 11:00:00,65.97
2011-01-21 12:00:00,76.38
2011-01-21 13:00:00,72.945
2011-01-21 14:00:00,71.61
2011-01-21 15:00:00,66.515
2011-01-21 16:00:00,69.85
2011-01-21 17:00:00,151.84
2011-01-21 18:00:00,147.25
2011-01-21 19:00:00,109.125
2011-01-21 20:00:00,49.835
2011-01-21 21:00:00,41.665
2011-01-21 22:00:00,33.155
2011-01-21 23:00:00,20.15
2011-01-22 00:00:00,26.785
2011-01-22 01:00:00,18.505
2011-01-22 02:00:00,14.535
2011-01-22 03:00:00,7.35
2011-01-22 04:00:00,3.175
2011-01-22 06:00:00,3.94
2011-01-22 07:00:00,13.715
2011-01-22 08:00:00,19.475
2011-01-22 09:00:00,32.675
2011-01-22 10:00:00,50.91
2011-01-22 11:00:00,50.775
2011-01-22 12:00:00,57.39
2011-01-22 13:00:00,60.35
2011-01-22 14:00:00,61.5
2011-01-22 15:00:00,60.69
2011-01-22 16:00:00,59.06
2011-01-22 17:00:00,58.25
2011-01-22 18:00:00,49.83
2011-01-22 19:00:00,50.615
2011-01-22 20:00:00,49.84
2011-01-22 21:00:00,42.765
2011-01-22 22:00:00,29.77
2011-01-22 23:00:00,16.445
2011-01-23 00:00:00,29.375
2011-01-23 01:00:00,22.32
2011-01-23 02:00:00,17.195
2011-01-23 03:00:00,12.89
2011-01-23 05:00:00,3.11
2011-01-23 06:00:00,3.965
2011-01-23 07:00:00,8.185
2011-01-23 08:00:00,18.0
2011-01-23 09:00:00,27.51
2011-01-23 10:00:00,47.35
2011-01-23 11:00:00,52.325
2011-01-23 12:00:00,67.65
2011-01-23 13:00:00,62.31
2011-01-23 14:00:00,67.79
2011-01-23 15:00:00,67.67
2011-01-23 16:00:00,70.94
2011-01-23 17:00:00,60.535
2011-01-23 18:00:00,52.81
2011-01-23 19:00:00,48.59
2011-01-23 20:00:00,40.69
2011-01-23 21:00:00,37.03
2011-01-23 22:00:00,23.5
2011-01-23 23:00:00,14.095
2011-01-24 00:00:00,9.29
2011-01-24 01:00:00,3.915
2011-01-24 03:00:00,2.01
2011-01-24 04:00:00,2.345
2011-01-24 05:00:00,6.53
2011-01-24 06:00:00,32.7
2011-01-24 07:00:00,82.225
2011-01-24 08:00:00,185.52
2011-01-24 09:00:00,103.42
2011-01-24 10:00:00,43.705
2011-01-24 11:00:00,42.355
2011-01-24 12:00:00,49.515
2011-01-24 13:00:00,48.115
2011-01-24 14:00:00,46.97
2011-01-24 15:00:00,61.14
2011-01-24 16:00:00,58.045
2011-01-24 17:00:00,144.96
2011-01-24 18:00:00,140.405
2011-01-24 19:00:00,96.665
2011-01-24 20:00:00,54.845
2011-01-24 21:00:00,46.03
2011-01-24 22:00:00,26.165
2011-01-24 23:00:00,19.33
2011-01-25 00:00:00,7.475
2011-01-25 01:00:00,3.63
2011-01-25 02:00:00,2.12
2011-01-25 04:00:00,1.9
2011-01-25 05:00:00,4.615
2011-01-25 06:00:00,35.255
2011-01-25 07:00:00,83.56
2011-01-25 08:00:00,182.515
2011-01-25 09:00:00,118.435
2011-01-25 10:00:00,54.34
2011-01-25 11:00:00,56.51
2011-01-25 12:00:00,70.22
2011-01-25 13:00:00,70.26
2011-01-25 14:00:00,71.57
2011-01-25 15:00:00,72.84
2011-01-25 16:00:00,88.11
2011-01-25 17:00:00,211.87
2011-01-25 18:00:00,200.245
2011-01-25 19:00:00,124.1
2011-01-25 20:00:00,70.93
2011-01-25 21:00:00,53.25
2011-01-25 22:00:00,37.905
2011-01-25 23:00:00,20.045
2011-01-26 00:00:00,8.92
2011-01-26 01:00:00,5.595
2011-01-26 02:00:00,2.85
2011-01-26 05:00:00,3.545
